species_id,species_group,species_code,species_name,species_sensitive,species_np,species_type,species_size_min,species_size_max,species_unit,species_category,species_data_quality,species_population,species_conservation,species_isolation,species_global,site_code,year,id_reporte,species_id_type,species_id_unit
11339,B,A231,Coracias garrulus,,,r,,,,P,DD,C,B,C,B,ES0000269,2023,135,62,
11264,M,1304,Rhinolophus ferrumequinum,,,r,1.0,1.0,i,P,G,C,B,C,B,ES6120024,2023,135,62,36.0
11211,B,A232,Upupa epops,,,r,1.0,5.0,p,,M,C,C,C,C,ES0000327,2023,135,62,34.0
16302,B,A707,Aquila fasciata,,,p,4.0,4.0,p,,G,C,B,C,B,ES0000072,2023,135,201,34.0
11264,M,1304,Rhinolophus ferrumequinum,,,r,500.0,500.0,i,,G,C,B,C,B,ES4320070,2023,135,62,36.0
11637,M,1355,Lutra lutra,,,p,,,,P,DD,D,,,,ES6130004,2023,135,201,
11961,B,A077,Neophron percnopterus,,,r,,1.0,p,,G,C,B,C,B,ES0000449,2023,135,62,34.0
11047,B,A359,Fringilla coelebs,,,r,231.0,262.0,p,,M,C,,C,,ES5120007,2023,135,62,34.0
11691,B,A693,Puffinus mauretanicus,,,w,,,,P,DD,,,C,,ES5120013,2023,135,63,
12325,B,A276,Saxicola torquatus,,,p,,,,C,DD,C,B,C,C,ES0000220,2023,135,201,
11592,B,A279,Oenanthe leucura,,,p,,,i,R,DD,C,B,C,C,ES0000297,2023,135,201,36.0
10738,B,A230,Merops apiaster,,,c,8000.0,,i,,M,C,B,C,C,ES6310001,2023,135,202,36.0
11959,B,A092,Hieraaetus pennatus,,,p,1.0,1.0,p,,G,B,B,C,B,ES0000382,2023,135,201,34.0
79300,I,1092,Austropotamobius pallipes,,,p,13.0,42.0,grids1x1,P,M,C,,C,,ES5130008,2023,135,201,22.0
32195,B,A619,Accipiter gentilis gentilis,,,p,1.0,5.0,p,,M,C,,C,,ES0000479,2023,135,201,34.0
12107,B,A663,Phoenicopterus roseus,,,r,2.0,40.0,p,,G,,,,,ES0000038,2023,135,62,34.0
10750,B,A246,Lullula arborea,,,r,,,,P,DD,D,,,,ES0000122,2023,135,62,
11637,M,1355,Lutra lutra,,,p,,,,P,DD,C,C,C,C,ES6150013,2023,135,201,
10820,M,1308,Barbastella barbastellus,,,p,,,,P,DD,C,B,C,B,ES1120014,2023,135,201,
