ID_Ruta,CUADRICULA
2734,30SWF09
2777,30SVF49
2779,30SUG08
2779,30SUG09
2782,30SWH22
2782,30SWH12
2787,30SUG52
2787,30SUG62
2787,30SUG53
2787,30SUG63
2788,30SWF47
2788,30SWF48
2788,30SWF38
2790,30SUF76
2790,30SUF77
2791,30SXG00
2793,30SUG84
2794,30SVF88
2794,30SVF89
2795,30SWF39
2796,29SQB66
2796,29SQB56
2797,29SPB99
2797,29SPC90
2799,30SVG91
2816,30SWH34
2819,30SWG10
2867,30SUG84
2867,30SUG85
2871,29SQB19
2872,29SQB19
2872,29SQB09
2882,29SQB19
2991,30SWF39
2991,30SWF29
3011,30SUG71
3021,29SQB29
3021,29SQB19
3075,30SVH32
3082,30SVG81
3117,30SUF89
3118,30SVF08
3119,30SVG67
3119,30SVG68
3121,30SWG18
3122,30STG46
3122,30STG47
3122,30STG56
3122,30STG57
3125,30SVF58
3131,30SUG70
3144,29SQB09
3147,30SVF88
3152,30SWH34
3154,30SWG33
3165,30SVG83
3176,30SUF03
3178,30SUG39
3179,30SWG10
3180,30STF92
3180,30STF93
3181,30SUG74
3182,30STF84
3182,30STF94
3183,30SWF29
3183,30SWG20
3184,30SWH34
3185,30SWF38
3185,30SWF39
3186,30STF96
3186,30SUF06
3187,30SUF24
3187,30SUF25
3188,30SUF24
3188,30SUF34
3189,30SUF24
3189,30SUF25
3190,30SUF38
3191,30SUF35
3192,30SVG33
3193,30STF96
3193,30SUF06
3194,30SWG32
3194,30SWG33
3195,30SUG49
3195,30SUG59
3195,30SUH40
3195,30SUH50
3196,30SWF18
3196,30SWF19
3197,30SVH32
3200,30SUG52
3200,30SUG62
3201,30SWG03
3202,30SUF06
3202,30SUF16
3202,30SUF17
3205,30SUF35
3208,30SUF37
3213,29SPB99
3226,29SQC20
3226,29SQC31
3226,29SQC21
3233,29SPB99
3289,30STF87
3290,29SQB29
3295,30SUF36
3296,30SUF25
3302,30SWH34
3305,30SUF77
3305,30SUF78
3309,29SPB99
3309,29SPB89
3309,29SPB79
3309,29SPC80
3309,29SPC70
3316,30SWH34
3325,30SWF39
3340,30SWH34
3402,30SUG20
3642,30SWG84
3644,30SUF34
3644,30SUF25
3644,30SUF35
3686,30SWH21
3686,30SWH32
3686,30SWH22
3687,30SUF89
3716,30SUG31
3716,30SUG41
3716,30SUG42
3716,30SUG32
3721,30SUF89
3731,30SVG83
3734,30SWH33
3736,30SUF36
3736,30SUF37
3742,30SUG20
3745,30SWF17
3748,30SWG62
3748,30SWG52
3752,29SQB37
3753,30SWF19
3780,30SWG30
3780,30SWG20
3780,30SWG21
3787,30SUF76
3787,30SUF66
3787,30SUF67
3787,30SUF77
3792,30SWF09
3799,30SWH33
3799,30SWH23
3802,30SWH33
3803,30SWF38
3816,30SWG43
3823,30SWG42
3823,30SWG32
3830,30SUG29
3830,30SUG39
3830,30SUH20
3830,30SUH30
3838,30SUF89
3846,30SWG53
3855,30SWG42
3855,30SWG43
3870,30SUF35
3879,30SWF17
3879,30SWF07
3879,30SWF08
3883,30SUF56
3884,30SWG33
3888,30SUG49
3888,30SUH40
3893,30SWF08
3893,30SWF09
3973,30SVH42
3974,30SUF48
3974,30SUF58
3975,30SWH22
3976,30SWH34
3984,29SQB19
3989,30SUF89
4020,29SQB45
4020,29SQB35
4025,30SWF29
4025,30SWG20
4025,30SWG10
4026,30SUF56
4026,30SUF57
4044,30SWF38
4044,30SWF39
4045,30SVG12
4045,30SVG13
4046,30SUF89
4046,30SUF99
4047,30SUF24
4048,30SUG62
4049,30SWH22
4049,30SWH23
4050,30SWH22
4050,30SWH23
4051,30SWG72
4052,30SWF39
4052,30SWG30
4055,30SWG53
4056,30SWH33
4056,30SWH34
4059,30SUF14
4060,30SUG39
4061,30SVH42
4061,30SVH41
4062,30SUF37
4064,30STF95
4065,30SUF37
4066,30SVF47
4067,30SWH23
4071,30SUF25
4072,30SWF29
4072,30SWF19
4074,30SUF24
4074,30SUF34
4075,30SWF19
4075,30SWF09
4075,30SWG10
4076,30SUF45
4076,30SUF46
4077,30SUF24
4078,30SWF18
4078,30SWF19
4079,30SWG93
4080,30STF95
4080,30STF96
4081,30SWH34
4085,30SVF78
4085,30SVF88
4086,30SWG40
4086,30SWG41
4087,30SUF07
4087,30SUF17
4088,30SUF24
4089,30SWH13
4090,30SWG41
4091,30SUF55
4091,30SUF65
4092,30SWG84
4093,30SWG62
4094,30SVG82
4095,30SUF04
4095,30STF95
4095,30SUF05
4096,29SQB40
4096,29SQB51
4096,29SQB41
4097,30SWF18
4098,30SWG53
4098,30SWG54
4100,30SUF34
4101,30SUF79
4101,30SUF89
4102,30STF95
4103,30SWH10
4105,29SQB19
4106,30SWF39
4107,30SUF45
4109,30SVH42
4109,30SVH41
4110,30SUF37
4110,30SUF38
4111,30SUF35
4113,30SVH42
4113,30SVH41
4113,30SVH32
4114,30SVG83
4116,30SWH12
4116,30SWH13
4117,30SVH42
4118,30SWF19
4118,30SWF09
4119,30SUF65
4121,30SVG12
4121,30SVG13
4123,30SUF56
4124,30SWH22
4124,30SWH12
4125,30STH70
4125,30STG89
4125,30STH80
4126,30SUF89
4126,30SUF99
4129,30SUF24
4131,30SWG42
4131,30SWG52
4131,30SWG53
4132,30SWG10
4132,30SWG21
4132,30SWG11
4134,30SWG52
4134,30SWG53
4135,30SWF79
4136,30SWG61
4136,30SWG62
4184,30SWG52
4437,30SVG97
4437,30SVG98
4477,30STE49
4484,30SWG81
4489,30SUF09
4489,30SUG00
4490,30SUF09
4491,30STF87
4492,30STF87
4493,30STG69
4495,29SQB69
4495,29SQB59
4496,30SWF19
4517,29SPB82
4517,29SPB72
4517,29SPB83
4517,29SPB73
4519,29SQB16
4521,30SUH03
4521,30SUH04
4521,30SUH14
4521,30SUH24
4531,30SUG31
4531,30SUG41
4531,30SUG32
4541,30SWH14
4541,30SWH25
4541,30SWH15
4541,30SWH36
4541,30SWH26
4541,30SWH37
4543,30SWG43
4543,30SWG33
4543,30SWG34
4543,30SWG24
4543,30SWG14
4543,30SWG04
4543,30SWG15
4543,30SWG83
4543,30SWG73
4543,30SWG63
4543,30SWG53
4546,30SWG93
4546,30SXG04
4546,30SWG94
4548,30SUF86
4548,30SUF96
4556,29SQA54
4565,29SQB47
4565,29SQB48
4567,30SUG44
4567,30SUG54
4567,30SUG64
4567,30SUG74
4567,30SUG75
4567,30SUG85
4567,30SUG95
4567,30SUG86
4567,30SUG96
4567,30SVG06
4567,30SVG16
4567,30SVG17
4567,30SVG18
4567,30SVG28
4569,30SVG61
4582,30SVH41
4584,29SQA54
4584,29SQA44
4588,30STF78
4588,30STF89
4588,30STF99
4588,30STF79
4589,30SWF89
4589,30SWF79
4594,30SUH04
4604,30STH60
4605,29SQB64
4614,29SPB45
4614,29SPB35
4618,29SQA26
4618,29SQA35
4618,29SQA36
4618,29SQA37
4627,30SUH04
4628,30SVH40
4628,30SVH41
4631,30STG83
4631,30STG84
4631,30STG94
4631,30SUG15
4631,30STG95
4631,30SUG05
4631,30SUG16
4631,30SUG26
4631,30SUG27
4631,30SUG37
4631,30SUG38
4636,29SPB93
4636,29SPB94
4636,29SPB95
4636,29SPB96
4640,30SVH42
4640,30SVH52
4640,30SVH41
489,30STH53
489,30STH42
489,30STH43
491,30SWH36
491,30SWH26
491,30SWH37
1083,30SUH18
1083,30SUH19
1083,30SUH08
1129,30SXG14
1129,30SXG15
1129,30SXG16
1129,30SXG17
1136,30SXG23
1136,30SXG13
1136,30SXG24
1136,30SXG14
1149,30SWH60
1149,30SWH61
1149,30SWH62
