CUADRICULA,Nombre
29TPG57,Bufo bufo
29TNG16,Bufo bufo
31TDG86,Bufo bufo
29TPG67,Bufo bufo
31TCG37,Bufo bufo
29TNG26,Bufo bufo
31TDG76,Bufo bufo
29TPG77,Bufo bufo
31TCG27,Bufo bufo
29TNG36,Bufo bufo
31TDG66,Bufo bufo
29TPG87,Bufo bufo
29TNG46,Bufo bufo
31TDG56,Bufo bufo
29TPG97,Bufo bufo
29TNG56,Bufo bufo
31TDG46,Bufo bufo
29TQG07,Bufo bufo
31TDG36,Bufo bufo
31TDG26,Bufo bufo
29TQG27,Bufo bufo
31TBG77,Bufo bufo
29TNG86,Bufo bufo
31TDG16,Bufo bufo
29TQG37,Bufo bufo
31TDG06,Bufo bufo
29TQG47,Bufo bufo
31TBG57,Bufo bufo
29TPG06,Bufo bufo
31TCG96,Bufo bufo
30TUM17,Bufo bufo
30TUM27,Bufo bufo
30TUM47,Bufo bufo
30TUM77,Bufo bufo
30TUM87,Bufo bufo
30TVM07,Bufo bufo
30TVM17,Bufo bufo
30TVM27,Bufo bufo
30TVM37,Bufo bufo
30TVM47,Bufo bufo
30TVM57,Bufo bufo
30TVM67,Bufo bufo
30TVM77,Bufo bufo
30TVM87,Bufo bufo
30TVM97,Bufo bufo
30TWM07,Bufo bufo
30TWM17,Bufo bufo
30TWM27,Bufo bufo
30TWM37,Bufo bufo
30TWM67,Bufo bufo
30TXM07,Bufo bufo
30TXM17,Bufo bufo
30TXM27,Bufo bufo
30TXM37,Bufo bufo
30TXM57,Bufo bufo
30TXM67,Bufo bufo
30TXM77,Bufo bufo
30TYM27,Bufo bufo
30TYM47,Bufo bufo
31TCG86,Bufo bufo
31TCG76,Bufo bufo
29TPG36,Bufo bufo
31TCG66,Bufo bufo
31TEG05,Bufo bufo
31TDG95,Bufo bufo
29TPG56,Bufo bufo
29TNG15,Bufo bufo
31TDG85,Bufo bufo
29TPG66,Bufo bufo
31TCG36,Bufo bufo
29TNG25,Bufo bufo
31TDG75,Bufo bufo
29TPG76,Bufo bufo
29TNG35,Bufo bufo
31TDG65,Bufo bufo
29TPG86,Bufo bufo
31TCG16,Bufo bufo
31TDG55,Bufo bufo
29TPG96,Bufo bufo
31TCG06,Bufo bufo
31TDG45,Bufo bufo
29TQG06,Bufo bufo
31TDG35,Bufo bufo
29TQG16,Bufo bufo
29TNG75,Bufo bufo
31TDG25,Bufo bufo
29TQG26,Bufo bufo
31TBG76,Bufo bufo
31TDG15,Bufo bufo
29TQG36,Bufo bufo
31TDG05,Bufo bufo
29TQG46,Bufo bufo
31TBG56,Bufo bufo
29TPG05,Bufo bufo
31TCG95,Bufo bufo
30TTM66,Bufo bufo
30TUM06,Bufo bufo
30TUM26,Bufo bufo
30TUM56,Bufo bufo
30TUM86,Bufo bufo
30TUM96,Bufo bufo
30TVM06,Bufo bufo
30TVM16,Bufo bufo
30TVM26,Bufo bufo
30TVM36,Bufo bufo
30TVM46,Bufo bufo
30TVM56,Bufo bufo
30TVM66,Bufo bufo
30TVM76,Bufo bufo
30TVM86,Bufo bufo
30TVM96,Bufo bufo
30TWM06,Bufo bufo
30TWM16,Bufo bufo
30TWM26,Bufo bufo
30TWM36,Bufo bufo
30TWM46,Bufo bufo
30TWM56,Bufo bufo
30TWM66,Bufo bufo
30TXM06,Bufo bufo
30TXM26,Bufo bufo
30TXM36,Bufo bufo
30TXM46,Bufo bufo
30TXM66,Bufo bufo
30TXM76,Bufo bufo
30TXM86,Bufo bufo
30TYM16,Bufo bufo
30TYM26,Bufo bufo
30TYM46,Bufo bufo
29TPG15,Bufo bufo
31TEG14,Bufo bufo
31TEG04,Bufo bufo
31TDG94,Bufo bufo
29TPG55,Bufo bufo
29TNG14,Bufo bufo
31TDG84,Bufo bufo
29TPG65,Bufo bufo
31TDG74,Bufo bufo
31TCG25,Bufo bufo
31TDG64,Bufo bufo
31TCG15,Bufo bufo
31TDG54,Bufo bufo
29TPG95,Bufo bufo
31TCG05,Bufo bufo
31TDG44,Bufo bufo
29TQG05,Bufo bufo
29TNG64,Bufo bufo
31TDG34,Bufo bufo
29TNG74,Bufo bufo
31TDG24,Bufo bufo
29TQG25,Bufo bufo
31TBG75,Bufo bufo
29TNG84,Bufo bufo
31TDG14,Bufo bufo
29TNG94,Bufo bufo
31TDG04,Bufo bufo
29TQG45,Bufo bufo
29TPG04,Bufo bufo
30TTM85,Bufo bufo
30TUM25,Bufo bufo
30TUM35,Bufo bufo
30TUM55,Bufo bufo
30TUM65,Bufo bufo
30TUM75,Bufo bufo
30TUM85,Bufo bufo
30TUM95,Bufo bufo
30TVM05,Bufo bufo
30TVM15,Bufo bufo
30TVM25,Bufo bufo
30TVM35,Bufo bufo
30TVM45,Bufo bufo
30TVM55,Bufo bufo
30TVM65,Bufo bufo
30TVM75,Bufo bufo
30TVM85,Bufo bufo
30TVM95,Bufo bufo
30TWM05,Bufo bufo
30TWM15,Bufo bufo
30TWM25,Bufo bufo
30TWM35,Bufo bufo
30TWM45,Bufo bufo
30TWM55,Bufo bufo
30TWM65,Bufo bufo
30TXM05,Bufo bufo
30TXM15,Bufo bufo
30TXM25,Bufo bufo
30TXM45,Bufo bufo
30TXM55,Bufo bufo
30TXM65,Bufo bufo
30TXM75,Bufo bufo
30TXM85,Bufo bufo
30TYM15,Bufo bufo
30TYM25,Bufo bufo
29TPG14,Bufo bufo
31TCG84,Bufo bufo
